step,S,I,I_ml,I_web
0,37690,10,2,8
1,37648,52,14,38
2,37255,445,74,371
3,34484,3216,493,2723
4,29549,8151,1551,6600
5,23152,14548,2974,11574
6,18269,19431,4194,15237
7,15310,22390,5028,17362
8,13554,24146,5542,18604
9,12443,25257,5891,19366
10,11690,26010,6134,19876
11,11171,26529,6291,20238
12,10832,26868,6397,20471
13,10586,27114,6480,20634
14,10367,27333,6551,20782
15,10234,27466,6604,20862
16,10116,27584,6641,20943
17,10048,27652,6666,20986
18,10003,27697,6682,21015
19,9967,27733,6696,21037
20,9926,27774,6715,21059
21,9908,27792,6723,21069
22,9898,27802,6726,21076
23,9895,27805,6726,21079
24,9892,27808,6726,21082
25,9886,27814,6729,21085
26,9881,27819,6730,21089
27,9880,27820,6731,21089
28,9879,27821,6732,21089
29,9878,27822,6733,21089
30,9876,27824,6735,21089
31,9876,27824,6735,21089
