step,S,I,R,I_ml,I_web,R_ml,R_web
0,37690,10,0,2,8,0,0
1,37650,50,0,8,42,0,0
2,36454,1238,8,129,1109,0,8
3,31086,6484,130,1014,5470,14,116
4,25440,11496,764,2110,9386,105,659
5,21117,14665,1918,3068,11597,316,1602
6,17994,16358,3348,3618,12740,625,2723
7,15756,16938,5006,3909,13029,1016,3990
8,14317,16663,6720,3967,12696,1393,5327
9,13360,15942,8398,3864,12078,1788,6610
10,12701,15001,9998,3703,11298,2154,7844
11,12301,13854,11545,3473,10381,2522,9023
12,12011,12705,12984,3224,9481,2857,10127
13,11817,11675,14208,2963,8712,3178,11030
14,11681,10672,15347,2709,7963,3483,11864
15,11601,9658,16441,2474,7184,3741,12700
16,11554,8749,17397,2229,6520,4002,13395
17,11503,7967,18230,2036,5931,4213,14017
18,11479,7181,19040,1838,5343,4414,14626
19,11463,6478,19759,1653,4825,4603,15156
20,11447,5837,20416,1487,4350,4772,15644
21,11438,5241,21021,1337,3904,4927,16094
22,11435,4746,21519,1221,3525,5043,16476
23,11431,4264,22005,1101,3163,5164,16841
24,11428,3864,22408,985,2879,5282,17126
25,11427,3451,22822,882,2569,5385,17437
26,11421,3120,23159,802,2318,5465,17694
27,11419,2792,23489,730,2062,5537,17952
28,11419,2525,23756,662,1863,5605,18151
29,11417,2278,24005,593,1685,5674,18331
30,11417,2038,24245,535,1503,5732,18513
31,11417,1834,24449,485,1349,5782,18667
32,11415,1662,24623,441,1221,5826,18797
33,11413,1495,24792,383,1112,5884,18908
34,11412,1347,24941,342,1005,5925,19016
35,11412,1222,25066,320,902,5947,19119
36,11411,1126,25163,291,835,5976,19187
37,11411,1026,25263,267,759,6000,19263
38,11411,917,25372,244,673,6023,19349
39,11411,826,25463,215,611,6052,19411
40,11411,744,25545,190,554,6077,19468
41,11411,667,25622,169,498,6098,19524
42,11411,596,25693,155,441,6112,19581
43,11411,531,25758,132,399,6135,19623
44,11411,483,25806,122,361,6145,19661
45,11411,434,25855,116,318,6151,19704
46,11411,380,25909,102,278,6165,19744
47,11411,340,25949,95,245,6172,19777
48,11411,311,25978,88,223,6179,19799
49,11411,279,26010,79,200,6188,19822
50,11411,252,26037,69,183,6198,19839
51,11411,224,26065,63,161,6204,19861
52,11411,204,26085,58,146,6209,19876
53,11411,188,26101,53,135,6214,19887
54,11411,170,26119,45,125,6222,19897
55,11411,149,26140,42,107,6225,19915
56,11411,141,26148,40,101,6227,19921
57,11411,127,26162,35,92,6232,19930
58,11411,119,26170,33,86,6234,19936
59,11411,106,26183,30,76,6237,19946
60,11411,96,26193,28,68,6239,19954
61,11411,89,26200,25,64,6242,19958
62,11411,82,26207,22,60,6245,19962
63,11411,72,26217,21,51,6246,19971
64,11411,64,26225,18,46,6249,19976
65,11411,58,26231,16,42,6251,19980
66,11411,52,26237,15,37,6252,19985
67,11411,49,26240,14,35,6253,19987
68,11411,43,26246,11,32,6256,19990
69,11411,39,26250,11,28,6256,19994
70,11411,35,26254,10,25,6257,19997
71,11411,31,26258,9,22,6258,20000
72,11411,27,26262,8,19,6259,20003
73,11411,25,26264,8,17,6259,20005
74,11411,23,26266,8,15,6259,20007
75,11411,20,26269,8,12,6259,20010
76,11411,17,26272,8,9,6259,20013
77,11411,15,26274,8,7,6259,20015
78,11411,13,26276,7,6,6260,20016
79,11411,12,26277,6,6,6261,20016
80,11411,10,26279,5,5,6262,20017
81,11411,10,26279,5,5,6262,20017
82,11411,7,26282,3,4,6264,20018
83,11411,7,26282,3,4,6264,20018
84,11411,7,26282,3,4,6264,20018
85,11411,6,26283,2,4,6265,20018
86,11411,6,26283,2,4,6265,20018
87,11411,6,26283,2,4,6265,20018
88,11411,4,26285,1,3,6266,20019
89,11411,3,26286,1,2,6266,20020
90,11411,3,26286,1,2,6266,20020
91,11411,3,26286,1,2,6266,20020
92,11411,3,26286,1,2,6266,20020
93,11411,3,26286,1,2,6266,20020
94,11411,3,26286,1,2,6266,20020
95,11411,3,26286,1,2,6266,20020
96,11411,3,26286,1,2,6266,20020
97,11411,3,26286,1,2,6266,20020
98,11411,3,26286,1,2,6266,20020
99,11411,2,26287,1,1,6266,20021
100,11411,2,26287,1,1,6266,20021
