node_id,community_id
0,0
23977,0
1,1
34526,1
2370,1
14683,1
29982,1
21142,1
20363,1
23830,1
34035,2
6067,3
19720,3
20183,3
3,4
4950,4
18029,2
3358,4
34935,5
5916,4
4,6
2865,6
9342,6
5,2
27803,2
6,3
18612,3
18876,3
31890,1
17647,3
18562,3
7,7
37493,7
33643,7
30199,3
35773,3
11273,7
12775,7
21864,3
9051,7
34957,8
21395,3
9891,8
9340,1
31260,8
14820,8
26666,3
22516,8
8,16
19253,16
11083,7
23973,16
36652,16
10080,16
14003,16
4793,5
9,2
15477,3
23914,2
33129,2
27768,2
19407,2
30596,2
10,3
35842,2
23589,3
37280,3
2078,2
23670,2
32836,3
34238,2
19345,3
19973,2
29557,1
33138,3
35762,3
4708,5
15495,3
10487,3
12102,4
27313,7
27450,2
19222,7
7843,3
19256,2
14478,3
26143,3
12894,16
11514,2
16321,3
35633,3
22564,7
22666,3
22674,3
5567,10
29876,7
33500,2
14720,3
32322,3
37577,3
36578,3
3797,3
4530,2
27340,25
26639,3
915,3
1407,16
10456,3
17332,3
13638,3
18850,1
1923,3
11271,3
31938,3
27314,3
16641,2
30002,3
7027,3
10535,7
29465,3
35008,3
23972,3
16995,1
21934,1
6229,3
29964,7
4469,10
11,1
12,7
20854,7
4398,7
9598,3
25134,3
13228,7
11051,7
13,16
5629,16
14,1
20880,1
34989,1
15143,1
36404,1
33988,1
30809,3
18638,1
18910,1
31126,1
7825,1
28922,1
34629,1
13396,1
23838,3
8635,1
4174,1
15,16
10219,7
17787,16
3368,7
12921,3
5310,16
9049,7
30833,16
23204,16
1501,16
33671,2
18163,16
29892,3
17,3
36099,3
32821,1
18,3
27696,3
23458,3
20,1
33863,1
27745,1
29082,0
3922,1
21,3
12261,3
23332,3
34114,5
21547,3
9553,7
22321,3
15191,7
14242,7
23783,3
37057,7
2282,7
2992,3
36632,16
19470,3
5300,1
20919,2
33029,3
10352,12
12986,1
29615,1
21847,3
20961,3
12396,7
3747,3
8172,7
6790,1
27877,3
5081,3
8360,1
1315,3
33684,3
22,3
32575,3
13685,3
291,3
3072,3
35241,3
23,7
21298,7
22584,3
21498,25
9173,7
19358,3
9388,10
14635,7
6221,3
35359,7
30235,5
24,3
28761,3
327,16
22059,3
7976,3
26877,3
12523,3
3712,3
32060,3
35558,3
10840,3
23267,3
9722,3
14805,2
2431,3
27954,3
6071,3
5061,3
31987,3
1739,3
26,1
32718,1
17091,1
15554,1
3153,1
29055,16
34606,5
27,1
14755,1
28477,1
24094,1
12798,1
9947,1
35523,1
19629,2
1659,1
37475,1
28014,3
11225,1
32771,1
30417,1
32452,2
34900,1
2035,3
18588,1
885,1
25948,1
30502,3
14177,1
18595,19
3491,1
14947,3
17644,1
7415,1
25129,1
31525,1
14185,3
22836,1
25748,3
35065,1
33424,1
17949,19
23906,3
7847,19
831,3
3582,19
14341,1
7495,1
25819,1
25756,14
9339,1
32507,3
17221,19
12838,19
7075,3
714,3
1767,1
33833,1
479,1
13090,16
35668,1
24810,3
10001,1
26298,19
11889,1
34059,19
27874,1
23051,3
26124,3
20024,3
29347,1
27031,1
31500,1
16621,1
1268,1
11720,1
28,7
13003,7
29,1
30,7
6631,7
23664,7
31,1
10808,1
23880,1
12505,1
15908,1
17736,1
2059,1
32,2
4293,2
22351,2
33,2
10510,2
5398,2
34,1
27474,1
3635,1
27804,2
18741,2
24655,3
25120,3
6452,3
18377,2
15977,3
20084,3
22253,3
15940,3
22464,7
22615,16
36628,3
8626,2
24419,3
18244,3
3903,3
27022,3
15919,12
1174,7
30814,3
37428,3
29886,1
22881,3
34440,16
21973,3
8292,5
13493,3
29889,3
2417,1
4528,3
5412,16
1483,12
26585,3
18701,3
25477,3
36747,3
15806,7
27268,3
4193,1
418,3
13581,3
25967,5
36648,4
1070,4
4011,3
17152,7
12929,4
33303,3
1109,7
15407,3
33856,3
36914,3
35,1
15270,1
17013,1
25652,1
11279,1
18274,1
308,1
19540,1
25218,1
15074,7
6506,1
7562,1
34766,1
33813,1
30543,1
16599,1
36,1
16282,1
37049,1
27363,1
16119,7
26293,1
24953,1
24343,1
28814,7
23690,1
32459,7
35616,1
7740,1
34840,1
27367,1
6073,0
11635,3
896,16
32126,0
4382,0
11079,0
8784,0
22104,2
24654,0
27966,16
38,3
717,1
23060,1
253,3
22452,1
1766,3
36746,3
14701,1
25314,3
10281,1
8409,3
18028,3
1524,3
9804,3
34992,3
11439,1
34536,1
26644,1
9677,1
31518,1
1396,3
32139,3
26196,3
11175,1
13632,3
13189,0
32309,1
5823,1
20191,3
24921,1
29052,3
6301,1
21943,3
10595,1
18403,3
18204,1
29218,3
20773,0
19744,1
11041,1
27867,1
25774,1
21358,3
3252,3
29387,3
24541,3
8646,1
35388,1
18725,1
37463,1
12506,7
22950,3
28930,3
14483,1
5323,1
10320,3
16958,1
30010,3
35371,7
29421,0
16798,3
21957,3
32180,3
