community_id,size,percentage
3,8311,22.0451
2,7591,20.1353
1,7415,19.6684
7,5146,13.6499
5,2585,6.8568
16,2399,6.3634
0,1358,3.6021
25,580,1.5385
12,545,1.4456
10,530,1.4058
4,524,1.3899
14,131,0.3475
8,126,0.3342
6,115,0.305
19,109,0.2891
21,46,0.122
18,38,0.1008
20,36,0.0955
15,17,0.0451
22,13,0.0345
17,9,0.0239
24,8,0.0212
27,6,0.0159
23,6,0.0159
40,4,0.0106
37,4,0.0106
34,4,0.0106
33,4,0.0106
26,4,0.0106
28,3,0.008
11,3,0.008
9,3,0.008
39,3,0.008
38,3,0.008
30,3,0.008
36,3,0.008
35,3,0.008
29,3,0.008
32,3,0.008
31,3,0.008
13,3,0.008
