degree,count
0,7505
1,7446
2,4841
3,3363
4,2372
5,1684
6,1367
7,1156
8,908
9,769
10,649
11,552
12,436
13,371
14,353
15,291
16,280
17,214
18,205
19,197
20,153
21,157
22,134
23,123
24,122
25,116
26,110
27,81
28,83
29,83
30,68
31,65
32,62
33,58
34,52
35,38
36,42
37,55
38,53
39,31
40,31
41,28
42,38
43,30
44,35
45,33
46,31
47,19
48,18
49,21
50,24
51,18
52,13
53,20
54,27
55,25
56,17
57,15
58,17
59,13
60,21
61,17
62,10
63,15
64,11
65,7
66,13
67,5
68,11
69,12
70,7
71,12
72,12
73,5
74,12
75,12
76,11
77,14
78,7
79,6
80,6
81,8
82,3
83,5
84,9
85,5
86,5
87,5
88,1
89,5
90,7
91,8
92,1
93,2
94,8
95,2
96,6
97,5
98,2
99,5
100,3
101,4
102,3
103,2
104,5
105,5
106,8
107,4
108,2
110,5
111,1
112,2
113,2
114,2
115,5
117,1
118,1
119,4
120,3
121,1
122,1
123,3
124,2
125,3
126,4
128,3
129,2
130,2
131,4
132,3
133,3
134,3
135,1
137,2
139,4
140,2
141,1
142,3
143,1
144,1
145,1
146,2
147,3
151,2
153,2
154,2
157,2
158,1
159,1
160,1
161,3
162,1
163,2
166,2
167,1
170,1
171,5
172,1
174,1
175,3
176,1
177,2
179,1
180,2
181,2
182,3
183,2
184,1
187,1
188,1
191,3
192,1
194,2
196,2
197,1
198,1
201,2
204,1
205,2
206,1
207,1
209,1
211,1
217,1
218,1
221,1
225,1
230,1
232,1
233,1
236,1
239,1
243,1
244,1
245,1
247,2
254,1
260,1
261,1
263,1
265,1
276,2
277,1
283,1
285,1
287,1
288,1
293,1
298,1
301,1
303,1
341,1
350,1
351,1
355,2
358,1
363,2
372,1
373,1
374,1
375,1
389,1
390,1
399,2
419,2
425,1
437,1
448,1
454,1
461,1
467,1
469,1
471,1
477,1
484,1
488,1
512,1
527,1
536,1
573,1
583,1
584,1
596,1
621,1
635,1
686,1
723,1
811,1
819,1
858,1
884,1
1472,1
1477,1
1499,1
1858,1
2285,1
2401,1
7470,1
