id,pagerank,coreness,constraint,effective_size,degree,name,ml_target
0,9.155512056366341e-06,1,1.0,1.0,1,Eiryyy,0
1,9.155512056366341e-06,6,0.12657456465069522,7.993767332547019,8,shawflying,0
2,9.155512056366341e-06,1,1.0,1.0,1,JpMCarrilho,1
3,9.155512056366341e-06,4,0.20000000000000004,5.0,5,SuhwanCha,0
4,9.155512056366341e-06,2,0.5,2.0,2,sunilangadi2,1
5,9.155512056366341e-06,1,1.0,1.0,1,j6montoya,0
6,9.155512056366341e-06,6,0.1702318135449068,5.989594473803615,6,sfate,0
7,9.155512056366341e-06,8,0.1307097816685273,7.977697490908132,8,amituuush,0
8,9.155512056366341e-06,8,0.12928830649332435,7.983041506514773,8,mauroherlein,0
9,9.155512056366341e-06,5,0.21260319871237354,6.811318607124637,7,ParadoxZero,0
10,9.155512056366341e-06,28,0.017223429896874774,65.94838900681174,66,llazzaro,0
11,9.155512056366341e-06,2,0.5001234447045171,1.9998765630705777,2,beeva-manueldepaz,0
12,9.155512056366341e-06,6,0.1811545486185357,5.959070726606809,6,damianmuti,0
13,9.155512056366341e-06,3,0.3336887853983751,2.9994671173441536,3,apobbati,0
14,9.155512056366341e-06,17,0.05833144338489593,17.97557977727995,18,hwlv,0
15,9.155512056366341e-06,17,0.057925276552787494,17.979047525518254,18,haroldoramirez,0
16,9.660092177997371e-06,1,1.0,1.0,1,jasonblanchard,0
17,9.155512056366341e-06,3,0.3333333333333333,3.0,3,BahiHussein,0
18,9.155512056366341e-06,3,0.38551582252506333,2.9284201055312016,3,itsmevanessi,0
19,2.2900202154770734e-05,13,0.04914888006810148,21.961566593053607,22,nwjsmith,0
20,9.155512056366341e-06,4,0.2556330308984689,3.9888240053039428,4,chengzhipeng,0
21,9.155512056366341e-06,21,0.03343614533071455,32.95305411073228,33,tiensonqin,0
22,9.155512056366341e-06,6,0.14737971974574304,6.984519176194698,7,pdokas,0
23,9.155512056366341e-06,9,0.08369771464164719,11.997841220422332,12,maxfierke,0
24,9.155512056366341e-06,15,0.057100251222780236,17.986443100263227,18,davidthewatson,0
